"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4750","1. Authorization","webkit","Thu Nov 21 14:13:51 GMT 2024","passed","Thu Nov 21 14:13:56 GMT 2024","dev.topklik.online","all.test.js","",""
"","5861","2. ""Hide tabletop"" test","webkit","Thu Nov 21 14:13:20 GMT 2024","passed","Thu Nov 21 14:13:26 GMT 2024","dev.topklik.online","all.test.js","",""
"","5339","3. Switch ""P-shaped tabletop"" toggle","webkit","Thu Nov 21 14:13:24 GMT 2024","passed","Thu Nov 21 14:13:29 GMT 2024","dev.topklik.online","all.test.js","",""
"","7923","2. ""Hide tabletop"" test","chromium","Thu Nov 21 14:12:11 GMT 2024","passed","Thu Nov 21 14:12:19 GMT 2024","dev.topklik.online","all.test.js","",""
"","6742","1. Authorization","firefox","Thu Nov 21 14:12:18 GMT 2024","passed","Thu Nov 21 14:12:25 GMT 2024","dev.topklik.online","all.test.js","",""
"","15579","4. E2E test","firefox","Thu Nov 21 14:13:20 GMT 2024","failed","Thu Nov 21 14:13:36 GMT 2024","dev.topklik.online","all.test.js","",""
"","6265","3. Switch ""P-shaped tabletop"" toggle","firefox","Thu Nov 21 14:13:16 GMT 2024","passed","Thu Nov 21 14:13:22 GMT 2024","dev.topklik.online","all.test.js","",""
"","6367","2. ""Hide tabletop"" test","firefox","Thu Nov 21 14:12:18 GMT 2024","passed","Thu Nov 21 14:12:25 GMT 2024","dev.topklik.online","all.test.js","",""
"","15044","4. E2E test","webkit","Thu Nov 21 14:14:22 GMT 2024","failed","Thu Nov 21 14:14:37 GMT 2024","dev.topklik.online","all.test.js","",""
"","6106","1. Authorization","chromium","Thu Nov 21 14:12:11 GMT 2024","passed","Thu Nov 21 14:12:17 GMT 2024","dev.topklik.online","all.test.js","",""
"","5998","3. Switch ""P-shaped tabletop"" toggle","chromium","Thu Nov 21 14:12:11 GMT 2024","passed","Thu Nov 21 14:12:17 GMT 2024","dev.topklik.online","all.test.js","",""
"","24437","4. E2E test","chromium","Thu Nov 21 14:12:55 GMT 2024","failed","Thu Nov 21 14:13:20 GMT 2024","dev.topklik.online","all.test.js","",""
